texto,dificultad
El perro corre en el parque,facil
La maestra explica la lección,facil
Los niños leen cuentos en la biblioteca,facil
El estudiante resuelve un ejercicio sencillo,facil
El sol ilumina el patio de la escuela,facil
María pinta un dibujo con crayones,facil
El alumno escribe una carta a su amigo,facil
Pedro juega fútbol en el recreo,facil
Los estudiantes practican sumas y restas,facil
El maestro pregunta la fecha de hoy,facil
Los alumnos usan colores para dibujar,facil
Ana escucha la lectura del cuento,facil
El niño lleva su cuaderno a clase,facil
Todos aprenden las vocales,facil
La maestra muestra las figuras geométricas,facil
Los alumnos observan una planta,facil
Hoy escribimos palabras nuevas,facil
Sofía lee un poema corto,facil
El maestro enseña los días de la semana,facil
Los niños cantan una canción,facil
El estudiante realiza una presentación oral,dificil
La célula es la unidad básica de los seres vivos,dificil
El proceso de fotosíntesis transforma la energía solar en química,dificil
La ecuación cuadrática tiene dos soluciones posibles,dificil
El sistema nervioso coordina las funciones del cuerpo,dificil
La densidad se calcula dividiendo masa entre volumen,dificil
Los metales son buenos conductores de electricidad,dificil
La Revolución Francesa cambió la historia de Europa,dificil
El análisis sintáctico identifica los complementos verbales,dificil
La hipótesis debe ser comprobada mediante experimentos,dificil
Los ángulos se miden en grados sexagesimales,dificil
El texto argumentativo presenta una tesis y sus razones,dificil
Los planetas giran alrededor del Sol,dificil
La materia puede cambiar de estado físico,dificil
El estudiante interpreta un gráfico de barras,dificil
La población mundial aumenta cada año,dificil
Las fracciones equivalentes representan la misma cantidad,dificil
La energía no se crea ni se destruye,dificil
El agua hierve a cien grados Celsius,dificil
